satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,department,salary,left,,salary_figure,new_salaries,,,,low,,
0.44,0.55,2,135,3,0,0,support,low,1,,17128,23500,,,,,,
0.38,0.55,2,134,3,0,0,support,low,1,,22178,25500,,,,,,
0.39,0.54,2,132,3,0,0,support,low,1,,18025,24500,,,,,,
0.1,0.92,7,307,4,0,0,support,low,1,,18994,25500,,,,,,
0.37,0.46,2,140,3,0,0,support,low,1,,14024,23500,,,,,,
0.11,0.94,7,255,4,0,0,support,low,1,,23177,25500,,,,,,
0.1,0.81,6,309,4,0,0,technical,low,1,,17338,25500,,,,,,
0.38,0.54,2,128,3,0,0,technical,low,1,,14800,23500,,,,,,
0.85,1,4,225,5,0,0,technical,low,1,,23030,23500,,,,,,
0.85,0.91,5,226,5,0,0,management,medium,1,,29326,43000,,,,,,
0.11,0.93,7,308,4,0,0,IT,medium,1,,48744,43000,,,,,,
0.1,0.95,6,244,5,0,0,IT,medium,1,,32186,43000,,,,,,
0.36,0.56,2,132,3,0,0,IT,medium,1,,35557,50000,,,,,,
0.11,0.94,6,286,4,0,0,IT,medium,1,,37653,50000,,,,,,
0.81,0.7,6,161,4,0,0,IT,medium,1,,49546,50000,,,,,,
0.43,0.54,2,153,3,0,0,product_mng,medium,1,,28474,50000,,,,,,
0.9,0.98,4,264,6,0,0,product_mng,medium,1,,46091,43000,,,,,,
0.76,0.86,5,223,5,1,0,product_mng,medium,1,,45135,56000,,,,,,
0.43,0.5,2,135,3,0,0,product_mng,medium,1,,31916,43000,,,,,,
0.74,0.99,2,277,3,0,0,IT,medium,1,,27366,43000,,,,,,
0.09,0.77,5,275,4,0,0,product_mng,medium,1,,28569,50000,,,,,,
0.45,0.49,2,149,3,0,0,product_mng,high,1,,72337,90000,,,,,,
0.09,0.87,7,295,4,0,0,product_mng,low,1,,16547,24500,,,,,,
0.11,0.97,6,277,4,0,0,product_mng,medium,1,,35039,50000,,,,,,
0.11,0.79,7,306,4,0,0,product_mng,medium,1,,37032,50000,,,,,,
0.1,0.83,6,295,4,0,0,product_mng,medium,1,,35316,56000,,,,,,
0.4,0.54,2,137,3,0,0,marketing,medium,1,,49244,56000,,,,,,
0.43,0.56,2,157,3,0,0,sales,low,1,,18589,25500,,,,,,
0.39,0.56,2,142,3,0,0,accounting,low,1,,22568,25500,,,,,,
0.45,0.54,2,140,3,0,0,support,low,1,,20596,25500,,,,,,
0.38,0.49,2,151,3,0,0,technical,low,1,,15981,24500,,,,,,
0.79,0.59,4,139,3,0,1,management,low,1,,17330,25500,,,,,,
0.84,0.85,4,249,6,0,0,marketing,low,1,,16808,23500,,,,,,
0.11,0.77,6,291,4,0,0,marketing,low,1,,19642,24500,,,,,,
0.11,0.87,6,305,4,0,0,marketing,low,1,,17478,25500,,,,,,
0.17,0.84,5,232,3,0,0,sales,low,1,,14943,23500,,,,,,
0.44,0.45,2,132,3,0,0,sales,low,1,,22198,23500,,,,,,
0.37,0.57,2,130,3,0,0,sales,low,1,,21303,25500,,,,,,
0.1,0.79,6,291,4,0,0,sales,low,1,,15820,24500,,,,,,
0.4,0.5,2,130,3,0,0,sales,low,1,,19603,25500,,,,,,
0.89,1,5,246,5,0,0,sales,low,1,,23712,23500,,,,,,
0.42,0.48,2,143,3,0,0,sales,low,1,,24271,25500,,,,,,
0.46,0.55,2,129,3,0,0,sales,low,1,,20049,24500,,,,,,
0.09,0.83,6,255,4,0,0,sales,low,1,,23000,23500,,,,,,
0.37,0.51,2,155,3,0,0,sales,low,1,,22107,23500,,,,,,
0.1,0.77,6,265,4,0,0,sales,low,1,,15434,25500,,,,,,
0.1,0.84,6,279,4,0,0,sales,low,1,,17923,25500,,,,,,
0.11,0.97,6,284,4,0,0,sales,low,1,,19926,24500,,,,,,
0.9,1,5,221,6,0,0,sales,medium,1,,32996,50000,,,,,,
0.38,0.52,2,154,3,0,0,sales,medium,1,,35753,56000,,,,,,
0.36,0.52,2,147,3,0,0,sales,medium,1,,47441,56000,,,,,,
0.42,0.46,2,150,3,0,0,sales,medium,1,,40101,56000,,,,,,
0.09,0.94,7,267,4,0,0,sales,medium,1,,27137,43000,,,,,,
0.43,0.52,2,158,3,0,0,sales,medium,1,,45598,50000,,,,,,
0.24,0.46,7,224,5,0,0,accounting,medium,1,,30326,50000,,,,,,
0.91,1,4,257,5,0,0,accounting,medium,1,,28955,43000,,,,,,
0.44,0.5,2,148,3,0,0,accounting,medium,1,,27398,50000,,,,,,
0.71,0.87,3,177,4,0,0,hr,medium,1,,30345,56000,,,,,,
0.4,0.49,2,155,3,0,0,hr,medium,1,,40850,56000,,,,,,
0.43,0.47,2,144,3,0,0,hr,medium,1,,42391,50000,,,,,,
0.09,0.85,6,289,4,0,0,hr,high,1,,78348,85000,,,,,,
0.43,0.52,2,160,3,0,0,technical,low,1,,19283,25500,,,,,,
0.9,0.96,4,258,5,0,0,technical,medium,1,,42680,43000,,,,,,
0.84,1,5,234,5,0,0,technical,medium,1,,26824,56000,,,,,,
0.37,0.48,2,137,3,0,0,technical,medium,1,,49363,43000,,,,,,
0.86,0.68,5,263,2,0,0,technical,medium,1,,27364,56000,,,,,,
0.11,0.84,6,251,4,0,0,technical,low,1,,18614,25500,,,,,,
0.37,0.57,2,133,3,0,0,technical,low,1,,22824,23500,,,,,,
0.4,0.46,2,132,3,0,0,technical,low,1,,23866,24500,,,,,,
0.14,0.62,4,158,4,1,0,technical,low,1,,15648,23500,,,,,,
0.4,0.46,2,135,3,0,0,technical,low,1,,23396,24500,,,,,,
0.75,1,4,216,6,0,0,technical,low,1,,23498,24500,,,,,,
0.11,0.84,6,300,5,1,0,support,low,1,,23903,23500,,,,,,
0.46,0.49,2,138,3,0,0,support,low,1,,17367,23500,,,,,,
0.11,0.92,6,260,4,0,0,support,low,1,,22475,25500,,,,,,
0.38,0.49,2,132,3,0,0,support,low,1,,23656,23500,,,,,,
0.7,0.89,3,183,5,0,0,support,low,1,,14682,23500,,,,,,
0.09,0.82,6,250,4,0,0,support,low,1,,20098,25500,,,,,,
0.37,0.45,2,151,3,0,0,support,low,1,,16636,24500,,,,,,
0.1,0.83,6,292,4,0,0,support,low,1,,14534,25500,,,,,,
0.38,0.57,2,140,3,0,0,support,low,1,,22618,25500,,,,,,
0.9,1,5,221,5,0,0,support,low,1,,24821,25500,,,,,,
0.44,0.51,2,138,3,0,0,support,low,1,,24437,24500,,,,,,
0.36,0.5,2,132,3,0,0,technical,low,1,,23615,23500,,,,,,
0.31,0.84,7,133,5,0,0,technical,low,1,,24565,24500,,,,,,
0.1,0.84,6,283,4,1,0,technical,low,1,,22012,25500,,,,,,
0.42,0.48,2,129,3,0,0,management,low,1,,24425,25500,,,,,,
0.74,1,4,249,5,0,0,IT,low,1,,24533,24500,,,,,,
0.73,0.87,5,257,5,0,0,IT,low,1,,20453,25500,,,,,,
0.09,0.96,6,245,4,0,0,IT,low,1,,14883,25500,,,,,,
0.45,0.53,2,155,3,0,0,IT,low,1,,21305,25500,,,,,,
0.11,0.8,6,256,4,0,0,IT,low,1,,21283,25500,,,,,,
0.37,0.47,2,152,3,0,0,product_mng,low,1,,18174,24500,,,,,,
0.84,0.99,4,267,5,0,0,product_mng,low,1,,21185,25500,,,,,,
0.41,0.46,2,151,3,0,0,product_mng,low,1,,24658,23500,,,,,,
0.76,0.92,4,239,5,0,0,product_mng,low,1,,24462,24500,,,,,,
0.11,0.87,6,306,4,0,0,IT,low,1,,21593,25500,,,,,,
0.84,0.88,4,263,5,1,0,marketing,low,1,,17669,23500,,,,,,
0.39,0.5,2,147,3,0,0,marketing,low,1,,22735,24500,,,,,,
0.11,0.91,6,278,4,0,0,marketing,low,1,,18864,24500,,,,,,
0.45,0.56,2,154,3,0,0,marketing,low,1,,19483,23500,,,,,,
0.37,0.52,2,143,3,0,0,marketing,low,1,,21438,24500,,,,,,
0.4,0.52,2,155,3,0,0,marketing,low,1,,14978,24500,,,,,,
0.39,0.48,2,160,3,0,0,sales,low,1,,22242,23500,,,,,,
0.11,0.8,6,304,4,0,0,accounting,low,1,,21790,25500,,,,,,
0.83,1,5,240,5,0,0,support,low,1,,14635,23500,,,,,,
0.11,0.92,6,305,4,0,0,technical,low,1,,22828,24500,,,,,,
0.39,0.5,2,136,3,0,0,management,low,1,,18797,24500,,,,,,
0.45,0.45,2,132,3,0,0,marketing,low,1,,18638,23500,,,,,,
0.1,0.95,7,301,4,0,0,marketing,low,1,,23427,23500,,,,,,
0.9,0.98,5,243,6,0,0,marketing,low,1,,20911,25500,,,,,,
0.45,0.51,2,147,3,0,0,sales,low,1,,24831,25500,,,,,,
0.79,0.89,5,239,5,0,0,sales,low,1,,17606,25500,,,,,,
0.9,0.99,5,260,5,0,0,sales,low,1,,14974,25500,,,,,,
0.11,0.84,7,296,4,0,0,sales,low,1,,24222,25500,,,,,,
0.43,0.55,2,129,3,0,0,sales,low,1,,14756,25500,,,,,,
0.31,0.54,5,132,5,0,0,sales,low,1,,20948,23500,,,,,,
0.32,0.5,2,135,5,0,0,sales,low,1,,17227,24500,,,,,,
0.45,0.57,2,158,3,0,0,sales,low,1,,22369,24500,,,,,,
0.81,0.99,4,259,5,0,0,sales,low,1,,19584,23500,,,,,,
0.41,0.46,2,160,3,0,1,sales,low,1,,15239,23500,,,,,,
0.11,0.78,7,278,4,0,0,sales,low,1,,15467,24500,,,,,,
0.1,0.88,6,284,4,0,0,sales,low,1,,17491,24500,,,,,,
0.7,0.53,2,274,4,0,0,sales,low,1,,16091,24500,,,,,,
0.54,0.74,4,164,2,0,0,sales,low,1,,23114,23500,,,,,,
0.41,0.48,2,148,3,0,0,sales,low,1,,24114,25500,,,,,,
0.38,0.5,2,140,3,0,0,sales,medium,1,,49647,56000,,,,,,
0.37,0.51,2,127,3,0,0,sales,medium,1,,39188,56000,,,,,,
0.11,0.85,6,308,5,0,0,sales,medium,1,,34470,50000,,,,,,
0.4,0.47,2,146,3,0,0,sales,medium,1,,33861,43000,,,,,,
0.1,0.84,6,261,4,0,0,accounting,medium,1,,49620,43000,,,,,,
0.89,0.99,5,257,5,0,0,accounting,medium,1,,30640,43000,,,,,,
0.11,0.8,6,285,4,0,0,accounting,medium,1,,32654,56000,,,,,,
0.36,0.55,2,141,3,0,0,hr,medium,1,,40050,43000,,,,,,
0.4,0.46,2,127,3,0,0,hr,medium,1,,37902,56000,,,,,,
0.09,0.85,6,297,4,0,0,hr,medium,1,,44719,43000,,,,,,
0.4,0.46,2,143,3,0,0,hr,medium,1,,37709,56000,,,,,,
0.37,0.55,2,152,3,0,0,technical,medium,1,,40194,43000,,,,,,
0.44,0.51,2,156,3,0,0,technical,high,1,,79259,80000,,,,,,
0.09,0.8,7,283,5,0,0,technical,low,1,,22277,25500,,,,,,
0.92,0.87,4,226,6,1,0,technical,medium,1,,36971,56000,,,,,,
0.74,0.91,4,232,5,0,0,technical,medium,1,,37650,56000,,,,,,
0.09,0.82,6,249,4,0,0,technical,medium,1,,41902,56000,,,,,,
0.89,0.95,4,275,5,0,0,technical,medium,1,,35630,43000,,,,,,
0.09,0.8,6,304,4,0,0,technical,low,1,,20362,24500,,,,,,
0.27,0.54,7,278,3,0,0,technical,low,1,,14063,23500,,,,,,
0.1,0.91,6,287,4,0,0,technical,low,1,,18656,23500,,,,,,
0.1,0.89,7,285,4,0,0,technical,low,1,,23900,23500,,,,,,
0.77,0.94,5,226,6,0,0,support,low,1,,19966,24500,,,,,,
0.9,0.82,5,259,5,0,0,support,low,1,,19272,25500,,,,,,
0.39,0.5,2,135,3,0,0,support,low,1,,17330,23500,,,,,,
0.76,1,5,219,5,0,0,support,low,1,,14482,23500,,,,,,
0.1,0.93,6,256,4,0,0,support,low,1,,17206,25500,,,,,,
0.87,0.9,5,254,6,0,0,support,low,1,,18581,23500,,,,,,
0.38,0.5,2,153,3,0,0,support,low,1,,16666,24500,,,,,,
0.77,0.99,5,228,5,0,0,support,low,1,,20009,23500,,,,,,
0.78,0.87,4,228,5,0,0,support,low,1,,18590,24500,,,,,,
0.44,0.5,2,128,3,0,0,support,low,1,,16461,25500,,,,,,
0.38,0.52,2,153,3,0,0,support,low,1,,17972,24500,,,,,,
0.43,0.46,2,156,3,0,0,technical,low,1,,16585,23500,,,,,,
0.39,0.5,4,294,3,0,0,technical,low,1,,18487,25500,,,,,,
0.88,1,5,219,5,0,0,technical,low,1,,22147,24500,,,,,,
0.45,0.46,2,153,3,0,0,management,low,1,,17956,23500,,,,,,
0.4,0.53,2,151,3,0,0,IT,low,1,,20701,24500,,,,,,
0.36,0.51,2,155,3,0,0,IT,low,1,,23191,24500,,,,,,
0.36,0.48,2,158,3,0,0,IT,low,1,,15174,23500,,,,,,
0.9,0.98,5,245,5,0,0,IT,low,1,,14627,25500,,,,,,
0.43,0.53,2,131,3,0,0,IT,low,1,,21064,23500,,,,,,
0.89,0.87,5,225,5,0,0,product_mng,low,1,,19557,24500,,,,,,
0.1,0.84,6,286,4,0,0,product_mng,low,1,,19872,25500,,,,,,
0.37,0.5,2,135,3,0,0,product_mng,low,1,,14642,23500,,,,,,
0.37,0.51,2,153,3,0,0,product_mng,low,1,,16517,25500,,,,,,
0.87,0.9,5,252,5,0,0,IT,low,1,,15337,24500,,,,,,
0.4,0.56,2,149,3,0,0,accounting,low,1,,15555,25500,,,,,,
0.9,0.97,4,258,5,0,0,accounting,low,1,,20383,25500,,,,,,
0.37,0.46,2,158,3,0,0,hr,low,1,,24522,24500,,,,,,
0.44,0.54,2,149,3,0,0,hr,low,1,,18713,24500,,,,,,
0.85,0.95,5,236,5,0,0,hr,low,1,,16716,23500,,,,,,
0.78,0.98,5,239,6,0,0,marketing,low,1,,24566,24500,,,,,,
0.42,0.47,2,159,3,0,0,marketing,low,1,,20737,25500,,,,,,
0.92,0.99,5,255,6,0,0,sales,low,1,,21785,24500,,,,,,
0.11,0.83,6,244,4,0,0,accounting,low,1,,24242,24500,,,,,,
0.42,0.56,2,134,3,0,0,support,low,1,,20251,23500,,,,,,
0.48,0.57,4,270,4,0,0,technical,low,1,,18207,25500,,,,,,
0.83,0.85,4,255,5,0,0,management,low,1,,23317,25500,,,,,,
0.4,0.53,2,151,3,0,0,marketing,low,1,,15903,24500,,,,,,
0.43,0.45,2,135,3,0,0,marketing,low,1,,15619,23500,,,,,,
0.43,0.53,2,146,3,0,0,marketing,low,1,,20227,23500,,,,,,
0.1,0.97,7,254,4,0,0,sales,low,1,,14399,24500,,,,,,
0.1,0.87,7,289,4,0,0,sales,low,1,,22996,24500,,,,,,
0.37,0.46,2,156,3,0,0,sales,low,1,,16706,25500,,,,,,
0.38,0.53,2,156,3,0,0,sales,low,1,,24736,25500,,,,,,
0.4,0.5,2,128,3,0,0,sales,low,1,,21093,25500,,,,,,
0.89,0.86,5,275,5,0,0,sales,low,1,,24587,25500,,,,,,
0.45,0.46,2,155,3,0,0,sales,low,1,,18317,23500,,,,,,
0.37,0.48,2,159,3,0,0,sales,low,1,,18138,25500,,,,,,
0.46,0.49,2,148,3,0,0,sales,low,1,,22081,25500,,,,,,
0.87,0.91,4,228,5,0,0,sales,low,1,,23003,23500,,,,,,
0.11,0.84,6,298,4,0,0,sales,low,1,,20071,24500,,,,,,
0.79,0.87,5,261,5,0,0,sales,low,1,,17232,23500,,,,,,
0.79,0.92,5,254,6,0,0,sales,low,1,,23696,25500,,,,,,
0.19,0.59,7,192,3,0,0,sales,low,1,,19158,25500,,,,,,
0.87,0.98,4,248,5,0,0,sales,low,1,,16008,25500,,,,,,
0.6,0.92,2,258,5,0,0,sales,low,1,,18396,24500,,,,,,
0.44,0.45,2,156,3,0,0,sales,medium,1,,45041,43000,,,,,,
0.11,0.81,6,266,4,1,0,sales,medium,1,,32056,43000,,,,,,
0.42,0.54,2,156,3,0,0,sales,medium,1,,49439,43000,,,,,,
0.88,0.88,5,232,5,1,0,accounting,medium,1,,27198,56000,,,,,,
0.11,0.84,6,287,4,0,0,accounting,medium,1,,30523,56000,,,,,,
0.46,0.46,2,154,3,0,0,accounting,medium,1,,41025,50000,,,,,,
0.82,0.97,5,263,5,0,0,hr,medium,1,,39513,50000,,,,,,
0.44,0.56,2,131,3,0,0,hr,medium,1,,42626,56000,,,,,,
0.11,0.78,6,260,4,0,0,hr,medium,1,,49279,43000,,,,,,
0.42,0.5,2,139,3,0,0,hr,medium,1,,26602,56000,,,,,,
0.84,0.93,4,251,5,0,0,technical,medium,1,,43542,56000,,,,,,
0.11,0.95,6,286,4,0,0,technical,medium,1,,35418,50000,,,,,,
0.45,0.53,2,129,3,0,0,technical,high,1,,62038,85000,,,,,,
0.38,0.56,2,156,3,0,0,technical,low,1,,18186,24500,,,,,,
0.38,0.86,6,139,6,0,0,technical,medium,1,,46220,43000,,,,,,
0.44,0.51,2,127,3,0,0,technical,medium,1,,41572,50000,,,,,,
0.11,0.84,6,251,4,0,0,technical,medium,1,,48643,56000,,,,,,
0.81,0.93,5,270,5,0,0,technical,medium,1,,35362,50000,,,,,,
0.09,0.96,6,296,4,0,0,technical,low,1,,20047,23500,,,,,,
0.11,0.9,6,254,4,0,0,technical,low,1,,14657,24500,,,,,,
0.81,0.95,5,238,6,0,0,technical,low,1,,14953,25500,,,,,,
0.1,0.97,6,267,4,1,0,support,low,1,,16897,23500,,,,,,
0.74,0.89,5,229,6,0,0,support,low,1,,18919,25500,,,,,,
0.09,0.78,6,254,4,0,0,support,low,1,,21244,25500,,,,,,
0.82,0.81,4,233,4,1,0,support,low,1,,23837,25500,,,,,,
0.1,0.98,6,268,4,0,0,support,low,1,,17707,25500,,,,,,
0.27,0.56,3,301,3,0,0,support,low,1,,14829,23500,,,,,,
0.83,0.92,5,267,6,0,0,support,low,1,,15909,24500,,,,,,
0.1,0.93,6,289,4,1,0,support,low,1,,15098,24500,,,,,,
0.38,0.47,2,144,3,0,0,support,low,1,,18943,24500,,,,,,
0.4,0.56,2,148,3,0,0,support,low,1,,19256,24500,,,,,,
0.11,0.83,6,306,4,0,0,support,low,1,,14643,23500,,,,,,
0.11,0.79,6,292,4,0,1,technical,low,1,,14520,24500,,,,,,
0.82,0.91,5,232,5,0,0,technical,low,1,,17602,23500,,,,,,
0.36,0.48,2,137,3,0,0,technical,low,1,,24784,23500,,,,,,
0.4,0.46,2,128,3,0,0,management,low,1,,20158,24500,,,,,,
0.87,0.84,5,231,5,0,0,IT,low,1,,15772,25500,,,,,,
0.41,0.49,2,146,3,0,0,IT,low,1,,21785,23500,,,,,,
0.11,0.91,6,308,4,1,0,IT,low,1,,19395,25500,,,,,,
0.1,0.93,6,253,4,0,0,IT,medium,1,,33937,56000,,,,,,
0.38,0.51,2,146,3,0,0,IT,medium,1,,44737,50000,,,,,,
0.39,0.55,2,156,3,0,0,product_mng,medium,1,,43378,50000,,,,,,
0.4,0.52,2,147,3,0,0,product_mng,medium,1,,45896,56000,,,,,,
0.45,0.48,2,136,3,0,0,product_mng,medium,1,,40774,56000,,,,,,
0.74,0.84,5,249,5,0,0,product_mng,medium,1,,45329,43000,,,,,,
0.45,0.55,2,151,3,0,0,IT,medium,1,,36529,56000,,,,,,
0.12,1,3,278,4,0,0,RandD,medium,1,,29399,56000,,,,,,
0.1,0.77,7,250,5,0,0,RandD,medium,1,,48776,50000,,,,,,
0.37,0.55,2,127,3,0,0,RandD,medium,1,,37594,43000,,,,,,
0.89,0.87,5,255,5,0,0,RandD,medium,1,,31618,50000,,,,,,
0.45,0.47,2,135,3,0,0,RandD,medium,1,,35771,50000,,,,,,
0.37,0.46,2,149,3,0,0,marketing,high,1,,73118,80000,,,,,,
0.11,0.81,5,287,4,0,0,sales,low,1,,18874,25500,,,,,,
0.41,0.48,2,145,3,0,0,accounting,medium,1,,35450,50000,,,,,,
0.1,0.94,6,285,4,0,0,support,medium,1,,48578,56000,,,,,,
0.1,0.93,7,305,4,0,0,technical,medium,1,,30360,43000,,,,,,
0.11,0.95,7,300,4,0,0,management,medium,1,,36283,56000,,,,,,
0.4,0.54,2,139,3,0,0,marketing,low,1,,21811,24500,,,,,,
0.41,0.49,2,130,3,0,0,marketing,low,1,,15622,25500,,,,,,
0.1,0.81,6,268,4,0,0,marketing,low,1,,23568,23500,,,,,,
0.73,0.86,4,245,6,0,0,sales,low,1,,22748,24500,,,,,,
0.43,0.47,2,135,3,0,0,sales,low,1,,21968,23500,,,,,,
0.37,0.46,2,153,3,0,0,sales,low,1,,24070,25500,,,,,,
0.11,0.94,6,276,4,0,0,sales,low,1,,16084,23500,,,,,,
0.4,0.46,2,130,3,0,0,sales,low,1,,16331,24500,,,,,,
0.41,0.54,2,153,3,1,0,sales,low,1,,21854,25500,,,,,,
0.82,0.84,5,244,5,0,0,sales,low,1,,19287,24500,,,,,,
0.61,0.47,2,253,3,0,0,sales,low,1,,17495,23500,,,,,,
0.11,0.91,7,287,4,0,0,sales,low,1,,24246,24500,,,,,,
0.37,0.45,2,131,3,0,0,sales,low,1,,16799,25500,,,,,,
0.41,0.52,2,135,3,0,0,sales,low,1,,24027,24500,,,,,,
0.37,0.52,2,157,3,0,0,sales,low,1,,19270,25500,,,,,,
0.88,0.99,5,262,6,0,0,sales,low,1,,16581,23500,,,,,,
0.1,0.85,6,266,4,0,0,sales,low,1,,17170,24500,,,,,,
0.44,0.48,2,148,3,0,0,sales,low,1,,17363,24500,,,,,,
0.38,0.57,2,140,3,0,0,sales,low,1,,15556,23500,,,,,,
0.11,0.85,7,302,4,0,0,sales,low,1,,19311,24500,,,,,,
0.09,0.98,6,271,4,0,0,sales,low,1,,18531,25500,,,,,,
0.45,0.52,2,145,3,0,0,sales,medium,1,,45623,56000,,,,,,
0.1,0.81,6,290,4,0,0,accounting,medium,1,,39386,43000,,,,,,
0.45,0.47,2,151,3,0,0,accounting,medium,1,,35712,50000,,,,,,
0.77,0.87,5,266,5,0,0,accounting,medium,1,,30344,50000,,,,,,
0.44,0.51,2,140,3,0,0,hr,medium,1,,27277,56000,,,,,,
0.39,0.5,2,142,3,0,0,hr,medium,1,,27442,43000,,,,,,
0.1,0.91,6,246,4,0,0,hr,medium,1,,43483,56000,,,,,,
0.09,0.89,7,308,5,0,0,hr,medium,1,,44021,50000,,,,,,
0.37,0.47,2,141,3,0,0,technical,medium,1,,47571,56000,,,,,,
0.9,1,5,232,5,0,0,technical,medium,1,,29897,56000,,,,,,
0.41,0.56,2,143,3,0,0,technical,medium,1,,47703,50000,,,,,,
0.37,0.52,2,155,3,0,0,technical,medium,1,,26890,43000,,,,,,
0.1,0.86,6,278,4,0,0,technical,high,1,,74586,85000,,,,,,
0.81,1,4,253,5,0,0,technical,low,1,,19052,23500,,,,,,
0.11,0.8,6,282,4,0,0,technical,medium,1,,29168,50000,,,,,,
0.11,0.84,7,264,4,0,0,technical,medium,1,,34226,43000,,,,,,
0.4,0.46,2,149,3,0,0,technical,medium,1,,41315,43000,,,,,,
0.09,0.8,6,304,5,0,0,technical,medium,1,,33445,43000,,,,,,
0.48,0.93,3,219,6,0,0,technical,low,1,,20966,23500,,,,,,
0.91,0.91,4,262,6,0,0,support,low,1,,14277,24500,,,,,,
0.43,0.57,2,135,3,0,0,support,low,1,,14976,23500,,,,,,
0.33,0.88,6,219,5,0,0,support,low,1,,15119,25500,,,,,,
0.41,0.57,2,136,3,0,0,support,low,1,,17662,24500,,,,,,
0.41,0.55,2,154,3,0,0,support,low,1,,21507,25500,,,,,,
0.37,0.54,2,149,3,0,0,support,low,1,,18524,25500,,,,,,
0.31,0.62,6,135,5,0,0,support,low,1,,16280,25500,,,,,,
0.09,0.91,6,275,4,0,0,support,low,1,,20394,25500,,,,,,
0.1,0.87,6,290,4,0,0,support,low,1,,15267,25500,,,,,,
